30.6559 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1366, 768]. Using actual size
119.3360 	DATA 	round 1 - trial 45 - throw: 2to1 - FBALL
122.3614 	DATA 	Keypress: b
122.5609 	DATA 	round 1 - trial 46 - throw: 1to3 - FBALL
125.0714 	DATA 	Keypress: b
125.0715 	DATA 	Keypress: c
125.2702 	DATA 	round 1 - trial 47 - throw: 3to1 - FBALL
129.2984 	DATA 	Keypress: b
129.4981 	DATA 	round 1 - trial 48 - throw: 1to3 - FBALL
129.6224 	DATA 	Keypress: b
129.8953 	DATA 	Keypress: b
130.2458 	DATA 	Keypress: b
133.6169 	DATA 	Keypress: c
133.8165 	DATA 	round 1 - trial 49 - throw: 3to2 - FBALL
134.6425 	DATA 	PLAYER HAS BALL
135.1111 	DATA 	Keypress: c
135.1112 	DATA 	PLAYER THROWS TO 3 - RT 0.4687
135.1112 	DATA 	round 1 - trial 50 - throw: 2to3 - FBALL
136.3602 	DATA 	Keypress: c
136.5598 	DATA 	round 1 - trial 51 - throw: 3to2 - FBALL
137.3856 	DATA 	PLAYER HAS BALL
139.9351 	DATA 	Keypress: c
139.9352 	DATA 	PLAYER THROWS TO 3 - RT 2.5496
139.9352 	DATA 	round 1 - trial 52 - throw: 2to3 - FBALL
141.1999 	DATA 	round 1 - trial 53 - throw: 3to2 - FBALL
141.3831 	DATA 	Keypress: c
142.0253 	DATA 	PLAYER HAS BALL
142.5350 	DATA 	Keypress: c
142.5352 	DATA 	PLAYER THROWS TO 3 - RT 0.5099
142.5352 	DATA 	round 1 - trial 54 - throw: 2to3 - FBALL
144.1767 	DATA 	Keypress: c
144.3764 	DATA 	round 1 - trial 55 - throw: 3to1 - FBALL
147.7668 	DATA 	Keypress: b
147.9662 	DATA 	round 1 - trial 56 - throw: 1to3 - FBALL
148.1593 	DATA 	Keypress: b
149.9574 	DATA 	Keypress: c
150.1570 	DATA 	round 1 - trial 57 - throw: 3to1 - FBALL
151.9094 	DATA 	Keypress: b
152.1086 	DATA 	round 1 - trial 58 - throw: 1to3 - FBALL
155.3207 	DATA 	Keypress: b
155.3209 	DATA 	Keypress: c
155.5199 	DATA 	round 1 - trial 59 - throw: 3to1 - FBALL
159.2740 	DATA 	Keypress: b
159.4732 	DATA 	round 1 - trial 60 - throw: 1to2 - FBALL
160.3186 	DATA 	PLAYER HAS BALL
160.3675 	DATA 	Keypress: b
160.3676 	DATA 	PLAYER THROWS TO 1 - RT 0.0490
160.3676 	DATA 	round 1 - trial 61 - throw: 2to1 - FBALL
164.0210 	DATA 	Keypress: b
164.0219 	DATA 	Keypress: b
164.2205 	DATA 	round 1 - trial 62 - throw: 1to2 - FBALL
164.3992 	DATA 	Keypress: b
165.0513 	DATA 	PLAYER HAS BALL
165.5595 	DATA 	Keypress: b
165.5596 	DATA 	PLAYER THROWS TO 1 - RT 0.5083
165.5596 	DATA 	round 1 - trial 63 - throw: 2to1 - FBALL
168.5112 	DATA 	Keypress: b
168.7108 	DATA 	round 1 - trial 64 - throw: 1to3 - FBALL
170.4665 	DATA 	Keypress: b
170.4667 	DATA 	Keypress: c
170.6657 	DATA 	round 1 - trial 65 - throw: 3to2 - FBALL
171.5050 	DATA 	PLAYER HAS BALL
174.3512 	DATA 	Keypress: c
174.3513 	DATA 	PLAYER THROWS TO 3 - RT 2.8463
174.3513 	DATA 	round 1 - trial 66 - throw: 2to3 - FBALL
175.6560 	DATA 	round 1 - trial 67 - throw: 3to1 - FBALL
177.4585 	DATA 	Keypress: b
177.6575 	DATA 	round 1 - trial 68 - throw: 1to3 - FBALL
179.9458 	DATA 	Keypress: b
179.9462 	DATA 	Keypress: c
180.1448 	DATA 	round 1 - trial 69 - throw: 3to2 - FBALL
180.9764 	DATA 	PLAYER HAS BALL
182.9751 	DATA 	Keypress: c
182.9753 	DATA 	PLAYER THROWS TO 3 - RT 1.9988
182.9753 	DATA 	round 1 - trial 70 - throw: 2to3 - FBALL
184.9345 	DATA 	Keypress: c
185.1342 	DATA 	round 1 - trial 71 - throw: 3to2 - FBALL
185.9660 	DATA 	PLAYER HAS BALL
187.9751 	DATA 	Keypress: c
187.9752 	DATA 	PLAYER THROWS TO 3 - RT 2.0092
187.9753 	DATA 	round 1 - trial 72 - throw: 2to3 - FBALL
194.1969 	DATA 	Keypress: c
194.1977 	DATA 	Keypress: c
194.3965 	DATA 	Displaying Round 2 label
196.4073 	DATA 	Starting Round 2
199.2332 	DATA 	Keypress: c
199.4329 	DATA 	round 2 - trial 73 - throw: 1to3 - FBALL
201.6630 	DATA 	Keypress: c
201.8069 	DATA 	round 2 - trial 74 - throw: 3to1 - FBALL
203.8958 	DATA 	Keypress: b
204.0945 	DATA 	round 2 - trial 75 - throw: 1to3 - FBALL
206.0247 	DATA 	Keypress: b
206.2237 	DATA 	round 2 - trial 76 - throw: 3to1 - FBALL
206.3270 	DATA 	Keypress: c
209.2628 	DATA 	Keypress: b
209.4617 	DATA 	round 2 - trial 77 - throw: 1to2 - FBALL
209.5294 	DATA 	Keypress: b
210.3077 	DATA 	PLAYER HAS BALL
211.0712 	DATA 	Keypress: b
211.0714 	DATA 	PLAYER THROWS TO 1 - RT 0.7637
211.0715 	DATA 	round 2 - trial 78 - throw: 2to1 - FBALL
212.5494 	DATA 	Keypress: b
212.5496 	DATA 	Keypress: b
212.7487 	DATA 	round 2 - trial 79 - throw: 1to2 - FBALL
213.5769 	DATA 	PLAYER HAS BALL
214.0394 	DATA 	Keypress: b
214.0395 	DATA 	PLAYER THROWS TO 1 - RT 0.4625
214.0395 	DATA 	round 2 - trial 80 - throw: 2to1 - FBALL
215.8712 	DATA 	Keypress: b
215.9409 	DATA 	round 2 - trial 81 - throw: 1to3 - FBALL
219.0673 	DATA 	Keypress: b
219.0674 	DATA 	Keypress: c
219.2664 	DATA 	round 2 - trial 82 - throw: 3to1 - UBALL
222.6637 	DATA 	Keypress: b
222.6645 	DATA 	Keypress: b
222.8634 	DATA 	round 2 - trial 83 - throw: 1to3 - UBALL
224.5854 	DATA 	Keypress: c
224.7851 	DATA 	round 2 - trial 84 - throw: 3to1 - UBALL
227.9443 	DATA 	Keypress: b
227.9450 	DATA 	Keypress: b
228.1440 	DATA 	round 2 - trial 85 - throw: 1to3 - UBALL
230.8731 	DATA 	Keypress: c
231.0728 	DATA 	round 2 - trial 86 - throw: 3to1 - UBALL
233.9003 	DATA 	Keypress: b
233.9010 	DATA 	Keypress: b
234.0999 	DATA 	round 2 - trial 87 - throw: 1to3 - UBALL
236.6760 	DATA 	Keypress: c
236.8756 	DATA 	round 2 - trial 88 - throw: 3to1 - UBALL
238.9843 	DATA 	Keypress: b
238.9851 	DATA 	Keypress: b
239.1840 	DATA 	round 2 - trial 89 - throw: 1to3 - UBALL
240.6062 	DATA 	Keypress: c
240.8059 	DATA 	round 2 - trial 90 - throw: 3to1 - UBALL
243.8862 	DATA 	Keypress: b
243.8867 	DATA 	Keypress: b
243.8869 	DATA 	Keypress: b
244.0851 	DATA 	round 2 - trial 91 - throw: 1to3 - UBALL
244.1753 	DATA 	Keypress: b
246.0925 	DATA 	Keypress: c
246.2922 	DATA 	round 2 - trial 92 - throw: 3to1 - UBALL
250.1414 	DATA 	Keypress: b
250.1421 	DATA 	Keypress: b
250.3351 	DATA 	Keypress: b
250.3410 	DATA 	round 2 - trial 93 - throw: 1to3 - UBALL
250.5433 	DATA 	Keypress: b
252.7092 	DATA 	Keypress: c
252.9089 	DATA 	round 2 - trial 94 - throw: 3to1 - UBALL
255.9340 	DATA 	Keypress: b
255.9346 	DATA 	Keypress: b
256.1336 	DATA 	round 2 - trial 95 - throw: 1to3 - UBALL
258.5039 	DATA 	Keypress: c
258.6389 	DATA 	Keypress: c
258.7035 	DATA 	round 2 - trial 96 - throw: 3to1 - UBALL
261.9153 	DATA 	Keypress: b
261.9160 	DATA 	Keypress: b
262.1150 	DATA 	round 2 - trial 97 - throw: 1to3 - UBALL
264.9159 	DATA 	Keypress: c
265.1156 	DATA 	round 2 - trial 98 - throw: 3to1 - UBALL
268.2127 	DATA 	Keypress: b
268.2133 	DATA 	Keypress: b
268.4124 	DATA 	round 2 - trial 99 - throw: 1to3 - UBALL
270.9813 	DATA 	Keypress: c
271.1809 	DATA 	round 2 - trial 100 - throw: 3to1 - UBALL
272.8240 	DATA 	Keypress: b
273.0237 	DATA 	round 2 - trial 101 - throw: 1to3 - UBALL
273.2952 	DATA 	Keypress: b
276.4705 	DATA 	Keypress: c
276.4713 	DATA 	Keypress: c
276.4718 	DATA 	Keypress: c
276.6702 	DATA 	round 2 - trial 102 - throw: 3to1 - UBALL
278.3314 	DATA 	Keypress: b
278.5311 	DATA 	round 2 - trial 103 - throw: 1to3 - UBALL
279.0874 	DATA 	Keypress: b
281.6925 	DATA 	Keypress: c
281.8921 	DATA 	round 2 - trial 104 - throw: 3to1 - UBALL
282.7417 	DATA 	Keypress: b
283.8395 	DATA 	Keypress: b
283.8512 	DATA 	round 2 - trial 105 - throw: 1to3 - UBALL
286.3800 	DATA 	Keypress: c
286.5797 	DATA 	round 2 - trial 106 - throw: 3to1 - UBALL
290.3240 	DATA 	Keypress: b
290.3248 	DATA 	Keypress: b
290.5237 	DATA 	round 2 - trial 107 - throw: 1to3 - UBALL
294.0451 	DATA 	Keypress: c
294.2448 	DATA 	round 2 - trial 108 - throw: 3to1 - UBALL
294.3683 	DATA 	Keypress: c
296.1384 	DATA 	Keypress: b
296.3379 	DATA 	round 2 - trial 109 - throw: 1to3 - UBALL
298.8190 	DATA 	Keypress: b
298.8195 	DATA 	Keypress: c
299.0180 	DATA 	round 2 - trial 110 - throw: 3to1 - UBALL
301.4470 	DATA 	Keypress: b
301.4477 	DATA 	Keypress: b
301.6468 	DATA 	round 2 - trial 111 - throw: 1to3 - UBALL
305.1369 	DATA 	Keypress: c
305.3365 	DATA 	round 2 - trial 112 - throw: 3to1 - UBALL
305.3564 	DATA 	Keypress: c
307.1828 	DATA 	Keypress: b
307.3825 	DATA 	round 2 - trial 113 - throw: 1to3 - UBALL
310.0619 	DATA 	Keypress: b
310.0620 	DATA 	Keypress: c
310.2609 	DATA 	round 2 - trial 114 - throw: 3to1 - UBALL
312.6211 	DATA 	Keypress: b
312.8208 	DATA 	round 2 - trial 115 - throw: 1to3 - UBALL
313.0871 	DATA 	Keypress: b
316.0665 	DATA 	Keypress: c
316.2661 	DATA 	round 2 - trial 116 - throw: 3to1 - UBALL
319.9246 	DATA 	Keypress: b
319.9252 	DATA 	Keypress: b
320.1242 	DATA 	round 2 - trial 117 - throw: 1to3 - UBALL
322.0123 	DATA 	Keypress: c
